ORIENTO,PHILO,PHILT,,,ORIENTT,PHOBO,PHOBT,
TOTAL,0.7592592593,0.8148148148,,,TOTAL,0.4907407407,0.4814814815,
PARTIAL,0.2222222222,0.1666666667,BLUE = FIRST DROP,,PARTIAL,0.3888888889,0.3611111111,RED = SECOND DROP
NONE,0.01851851852,0.01851851852,,,NONE,0.1203703704,0.1574074074,
,,,,,,,,
,,,,,,,,
,"82, 24, 2","88, 18, 2",,,," 53, 42, 13","52, 39, 17",
,,,,,,,,
,,PARALLEL,,,,,,
,,,,,,,,
,,phobic final,"52, 39, 17",,,,,
,,,,,,,,
,,phobic initial," 53, 42, 13",,,,,
,,,,,,,,
,,philic final,"88, 18, 2",,,,,
,,,,,,,,
,,philic initial,"82, 24, 2",,,,,