Density,We Avg,nPD Avg,We STD,nPD STD,Delta Avg,Delta STD
162,3.899731966,0.5241599176,0.3847897689,0.03668805765,0.05341880217,0.09252407943
162,14.1920167,0.504494798,0.765576199,0.127297642,0,0
162,23.7970309,0.5356481922,0.7541372392,0.01701079379,0,0
162,76.0827209,0.7849087675,2.267608694,0.01482196596,0,0
144,2.196961488,0.6387089128,0.1852931325,0.06881982568,0.2606653784,0.1167788377
144,11.32835058,0.8056475565,1.693078472,0.05536408415,0.2177354366,0.189550503
144,24.9369194,0.9755386468,2.648650928,0.03056069305,0.01204216294,0.0001472717209
144,80.02636206,1.245978188,7.298202988,0.08598096119,0.008480618677,0.007344934414
100,3.033390481,1.052845156,0.1734225906,0.00381104774,0.3659289496,0.04831016755
100,9.283841694,1.062577155,0.6334101881,0.00797388265,0.3889544963,0.0280598421
100,20.60410111,1.21105858,0.3866242013,0.02934308857,0.003993107303,0.006916264729
100,80.34782482,2.347587231,3.904691779,0.2082410474,0,0
97,4.16108714,0.7225680646,0.2458712684,0.02723452283,0.1605058132,0.1403746035
97,13.78077917,0.8884483358,0.2368524945,0.02609096424,0.01605613747,0.0001299513984
97,21.97609734,0.9801136283,1.105542628,0.02925850262,0.5727819893,0.2887430801
97,79.07317013,1.502443903,6.610075071,0.1535054255,0,0
50,2.154632327,0.6271911261,0.1089239881,0.09958495565,0,0
50,14.13657101,1.435205017,0.9297400647,0.01337994254,0.1183099126,0.2049187797
50,22.59272793,1.820845127,0.6515353636,0.0435650954,0.2698604648,0.2337069437
50,71.65538208,3.392561708,1.226363051,0.03900614341,0.03912188975,0.004939739606
49,2.326213605,1.0425958,0.6402855581,0.06501852851,0.1758144461,0.1713031426
49,11.12433753,1.723115756,2.065932728,0.2082288666,0.1322120119,0.2183066399
49,23.13755025,2.034815987,1.184708001,0.0997086977,-0.01200504579,0.02079334925
49,68.75543021,4.621651683,1.05553007,0.1884160974,0,0