,We Avg,nPD Avg,We STD,nPD STD
162,2.521994042,0.1935729437,0.5365022405,0.008343868285
162,2.420157606,0.4397665451,0.7170540802,0.09297972091
162,3.173299416,0.9992853097,0.09675989371,0.1146977664
162,1.535177167,0.5525094669,0.17569095,0.03426268673
144,1.377964547,0,0.1611793671,0
144,1.854850611,0.7107073368,0.03063821587,0.01291591561
144,10.96683387,0.3721504048,0.451962164,0.01171659276
144,10.5311533,0.9204371554,0.72781702,0.2117123662
100,10.06199528,1.301893932,0.4931765226,0.05647823869
100,9.225634109,0.6008287573,1.044163186,0.1257407572
100,10.48574269,0.6103720272,0.6366483527,0.1300000341
100,10.46282672,1.241658466,0.5747264044,0.07333599628
97,22.93969978,0.541436991,1.00890345,0.09550844354
97,27.70883989,1.126205071,1.050552715,0.1689310392
97,21.45705014,2.017938118,4.090529598,0.3129954273
97,22.92872292,0.6794256865,3.690409935,0.1683857666
50,23.39257677,0.9116805167,2.598112704,0.1365632195
50,25.60092545,1.417297697,3.226970457,0.1231691392
50,81.81375247,0.8899521346,7.922946121,0.06023070624
50,70.72883542,2.648921754,7.284250614,0.3908883695
49,79.66014523,4.960974893,10.55439591,0.2934365509
49,77.25948488,1.120192133,11.04761534,0.2299291142
49,76.9603223,1.570776462,4.293064265,0.03022900031
49,83.80557753,3.87568374,1.853766948,0.4341906018